time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:Copy.count,Jvm:Copy.time,Jvm:MarkSweepCompact.count,Jvm:MarkSweepCompact.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2017-05-18T14:43:38Z,109,0,0,0,0,0,3160733,1080,14576,320,0,0,0,0,0,13,0,0,0,0,0,0,0,3,3,0,0,1,3,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,6,221,6,4,6,0,0,3,7,0,0,0,0,0,0,38,1,0,0,6144,3,1335,6,0,0,0,0,11,35,1,15,16794048,-1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T14:44:38Z,573,0,0,0,0,0,3862349,1400,715728,320,0,0,0,0,0,24390,0,0,0,0,0,0,0,63,7,0,-1,1,7,1206,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,8457,14154,8457,0,8457,0,0,3,8457,0,0,0,0,0,0,0,0,0,0,0,0,1329108,8457,0,0,0,0,83,190,1,40,33187856,-1,0,0,0,0,0,0,12199,0,0,0,0,0,3,0,395,0,14,0,700,0,0,0,0,0,0,0,0,0,0,15837,0,8405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T14:45:38Z,1013,0,0,0,0,0,3855461,1400,708400,320,0,0,0,0,0,14091,0,0,0,0,0,0,0,63,7,0,-1,1,7,643,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,118,323,118,0,118,0,0,3,118,0,0,0,0,0,0,0,0,0,0,0,0,8083,118,0,0,0,0,59,131,1,38,26820248,-1,0,0,0,0,0,0,1536,0,0,0,1,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13950,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T14:46:38Z,1893,0,0,0,0,0,3850061,1400,702064,376,0,0,0,0,0,13552,0,0,0,0,0,0,0,63,7,0,-1,1,7,657,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,121,354,120,0,121,0,0,3,120,0,0,0,0,0,0,0,0,0,0,0,0,8297,121,0,0,0,0,55,125,1,55,28515160,-1,0,0,0,0,0,0,1582,0,0,0,2,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13389,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T14:47:38Z,2333,0,0,0,0,0,3844141,1400,695760,320,0,0,0,0,0,12884,0,0,0,0,0,0,0,63,7,0,-1,1,7,630,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,119,613,120,0,119,0,0,3,120,0,0,0,0,0,0,0,0,0,0,0,0,8143,119,0,0,0,0,54,106,0,0,32848992,-1,0,0,0,0,0,0,1499,0,0,0,2,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12720,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T14:48:38Z,2773,0,0,0,0,0,3838317,1400,689496,320,0,0,0,0,0,13668,0,0,0,0,0,0,0,63,7,0,-1,1,8,614,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,120,531,120,0,120,0,0,3,120,0,0,0,0,0,0,0,0,0,0,0,0,8220,120,0,0,0,0,55,139,1,36,39554248,-1,0,0,0,0,0,0,1468,0,0,0,3,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13499,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T14:49:38Z,573,0,0,0,0,0,3829149,1400,682528,320,0,0,0,0,0,13840,0,0,0,0,0,0,0,62,7,0,-3,1,6,980,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,316,1756,316,0,316,0,0,3,316,0,0,0,0,0,0,0,0,0,0,0,0,45036,316,0,0,0,0,53,107,1,37,31302040,-1,0,0,0,0,0,0,3159,0,0,0,1,0,2,0,256,0,8,0,400,0,0,0,0,0,0,0,0,0,0,13462,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T14:50:38Z,1893,0,0,0,0,0,3826085,1400,678144,320,0,0,0,0,0,14887,0,0,0,0,0,0,0,63,7,0,-3,4,6,818,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,222,945,222,0,222,0,0,3,222,0,0,0,0,0,0,0,0,0,0,0,0,26658,222,0,0,0,0,57,123,0,0,33832752,-1,0,0,0,0,0,0,2091,0,0,0,5,0,0,0,160,0,4,0,200,0,0,0,0,0,0,0,0,0,0,14615,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T14:51:38Z,1013,0,0,0,0,0,3811517,1400,664456,320,0,0,0,0,0,13941,0,0,0,0,0,0,0,60,7,0,-6,1,6,647,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,120,709,120,0,120,0,0,3,120,0,0,0,0,0,0,0,0,0,0,0,0,9626,120,0,0,0,0,54,110,1,34,33150496,-1,0,0,0,0,0,0,1612,0,0,0,2,0,3,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13780,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-18T14:52:38Z,1013,0,0,0,0,0,3801989,1400,654928,320,0,0,0,0,0,12782,0,0,0,0,0,0,0,59,7,0,-7,1,6,733,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495118617019,3145728,0,0,0,0,169,672,169,0,169,0,0,3,169,0,0,0,0,0,0,0,0,0,0,0,0,17253,169,0,0,0,0,52,111,0,0,44339600,-1,0,0,0,0,0,0,1824,0,0,0,3,0,1,0,109,0,2,0,100,0,0,0,0,0,0,0,0,0,0,12559,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
